Exercise Name,Home Category,Sub Category,Exercise Type,Laterality,Primary Muscles (1.00),Secondary Muscles (0.50),Tertiary Muscles (0.25),Quaternary Muscles (0.125),Fatigue Score,Estimated Recovery Window,Progressive Overload Potential,Stability,Hypertrophy Potential,Stimulus-to-Fatigue Ratio (SFR),Stretch-Mediated Hypertrophy,Resistance Profile,Stability Requirement,Axial Loading,Skill Requirement,Recommended Rest Time,Notes,Video URL,Thumbnail
Rear Delt Fly Machine,Shoulders,,Isolation,Can Be Both,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Moderate,2-3 minutes,,,
Barbell Front Raise,Shoulders,,Isolation,Bilateral,Front Delts,Upper Chest,Side Delts,,1,24-48 hours,Very High,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Cable Lateral Raise,Shoulders,,Isolation,Can Be Both,Side Delts,Upper Traps,Rear Delts,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Seated Rear Lateral Dumbbell Raise,Shoulders,,Isolation,Can Be Both,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,Moderate,Stable,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Seated Dumbbell Lateral Raise,Shoulders,,Isolation,Can Be Both,Side Delts,Upper Traps,Rear Delts,,1,24-48 hours,Moderate,Stable,High,Good,Partial,Shortened Bias,Free Weight,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Cable Rear Delt Fly,Shoulders,,Isolation,Can Be Both,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Incline Dumbbell Side Lateral Raise,Shoulders,,Isolation,Unilateral,Side Delts,Rear Delts,Upper Traps,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Shortened Bias,Free Weight,No,Low,2-3 minutes,Lean slightly forward to better align Side Delts against gravity.,,
Overhead Press - Seated Dumbbell,Shoulders,,Compound,Bilateral,Front Delts,"Side Delts, Upper Chest",Triceps,,4,48-72 hours,High,Moderate,Excellent,Good,No,Balanced,Free Weight,Yes,Moderate,4-6 minutes,,,
Overhead Press - Standing Dumbbell,Shoulders,,Compound,Bilateral,Front Delts,"Side Delts, Upper Chest","Triceps, Rectus Abdominis",,4,48-72 hours,High,Unstable,High,Average,No,Balanced,Free Weight,Yes,High,4-6 minutes,,,
"Overhead Press - Seated Dumbbell, Neutral Grip",Shoulders,,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,4,48-72 hours,High,Moderate,High,Good,No,Balanced,Free Weight,Yes,Moderate,4-6 minutes,,,
Overhead Press - Standing Barbell,Shoulders,,Compound,Bilateral,Front Delts,"Upper Chest, Triceps","Side Delts, Rectus Abdominis",,4,48-72 hours,Very High,Unstable,High,Average,No,Balanced,Free Weight,Yes,High,4-6 minutes,,,
"Overhead Press - Seated Barbell, Behind The Neck",Shoulders,,Compound,Bilateral,"Front Delts, Side Delts","Triceps, Rear Delts",Upper Traps,,4,48-72 hours,High,Moderate,High,Average,No,Balanced,Free Weight,Yes,High,4-6 minutes,Requires good shoulder mobility,,
"Overhead Press - Standing Barbell, Behind The Neck",Shoulders,,Compound,Bilateral,"Front Delts, Side Delts","Triceps, Rear Delts","Upper Traps, Rectus Abdominis",,4,48-72 hours,High,Unstable,High,Poor,No,Balanced,Free Weight,Yes,Very High,4-6 minutes,High mobility requirement,,
Landmine Press - Standing,Shoulders,,Compound,Unilateral,"Front Delts, Upper Chest",Triceps,Rectus Abdominis,,2,24-48 hours,High,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Landmine Press - Half-Kneeling,Shoulders,,Compound,Unilateral,"Front Delts, Upper Chest",Triceps,Rectus Abdominis,,2,24-48 hours,High,Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,Excellent for strict tension,,
"Overhead Press - Machine, Wide Grip",Shoulders,,Compound,Bilateral,"Front Delts, Side Delts",Triceps,Upper Chest,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,Allows pushing closer to failure safely,,
"Overhead Press - Machine, Narrow Grip",Shoulders,,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,Allows pushing closer to failure safely,,
Overhead Press - Banded,Shoulders,,Compound,Bilateral,Front Delts,"Side Delts, Triceps",Upper Chest,,1,24-48 hours,Moderate,Moderate,Moderate,Average,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Banded Upright Row,Shoulders,,Compound,Bilateral,Side Delts,Upper Traps,Front Delts,,1,24-48 hours,Moderate,Moderate,Moderate,Average,No,Shortened Bias,Resistance Band,No,Low,2-3 minutes,,,
Dumbbell Front Raise,Shoulders,,Isolation,Can Be Both,Front Delts,Upper Chest,Side Delts,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Seated Dumbbell Front Raise,Shoulders,,Isolation,Can Be Both,Front Delts,Upper Chest,Side Delts,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,Eliminates momentum,,
Dumbbell Bent-Over Reverse Fly,Shoulders,,Isolation,Can Be Both,Rear Delts,Upper Traps,Rhomboids,,1,24-48 hours,Moderate,Unstable,High,Average,No,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Chest-Supported Dumbbell Reverse Fly,Shoulders,,Isolation,Can Be Both,Rear Delts,"Upper Traps, Rhomboids",,,1,24-48 hours,Moderate,Stable,Excellent,Excellent,No,Lengthened Bias,Free Weight,No,Low,2-3 minutes,Highly stable for maximal mechanical tension,,
Pike Push-Up,Shoulders,,Compound,Bilateral,Front Delts,Triceps,Upper Chest,,1,24-48 hours,Low,Moderate,High,Average,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Pike Hold,Shoulders,,Isometric,Bilateral,Front Delts,Triceps,Rectus Abdominis,,1,24-48 hours,Low,Moderate,Moderate,Average,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,Good baseline progression for learning freestanding handstands,,
Banded Lateral Raise,Shoulders,,Isolation,Can Be Both,Side Delts,Upper Traps,Rear Delts,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Resistance Band,No,Low,2-3 minutes,Constant band tension; strong at-home side-delt builder,,
Banded Front Raise,Shoulders,,Isolation,Can Be Both,Front Delts,Upper Chest,Side Delts,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Resistance Band,No,Low,2-3 minutes,,,
Banded Rear Delt Fly,Shoulders,,Isolation,Can Be Both,Rear Delts,Side Delts,Upper Traps,,1,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Barbell Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Very High,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
EZ Bar Preacher Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Partial,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Lever Preacher Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Partial,Lengthened Bias,Machine,No,Low,2-3 minutes,,,
Prone Incline Barbell Curl (Spider Curl),Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Very High,Stable,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Lever Biceps Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,Partial,Balanced,Machine,No,Low,2-3 minutes,,,
Two Dumbbell Preacher Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Partial,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Z-Bar Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Curl,Arms,Biceps,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Preacher Curl,Arms,Biceps,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Partial,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Seated Incline Dumbbell Curl,Arms,Biceps,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Balanced,Free Weight,No,Low,2-3 minutes,,,
Lying Cable Curl,Arms,Biceps,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
Cable Curl,Arms,Biceps,Isolation,Can Be Both,Biceps,Brachioradialis,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
H Bar Preacher Curl,Arms,Biceps,Isolation,Bilateral,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Preacher Curl Machine,Arms,Biceps,Isolation,Can Be Both,Biceps,Brachialis,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,,,
Bicep Curl With Bands,Arms,Biceps,Isolation,Bilateral,Biceps,Brachialis,,,1,24-48 hours,Moderate,Moderate,Moderate,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Concentration Curl,Arms,Biceps,Isolation,Unilateral,Biceps,Brachialis,,,1,24-48 hours,Moderate,Stable,Excellent,Excellent,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Hammer Curl,Arms,Biceps,Isolation,Bilateral,Brachialis,Biceps,Brachioradialis,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2-3 minutes,,,
Cable Rope Hammer Curl,Arms,Biceps,Isolation,Bilateral,Brachialis,Biceps,Brachioradialis,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2-3 minutes,,,
Dumbbell Hammer Preacher Curl,Arms,Biceps,Isolation,Can Be Both,"Brachialis, Brachioradialis",Biceps,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Overhand Grip Straight Bar Preacher Curl,Arms,Biceps,Isolation,Bilateral,"Brachialis, Brachioradialis",,,,1,24-48 hours,Moderate,Very Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Reverse Grip Bicep Curl With Bands,Arms,Forearms,Isolation,Bilateral,"Brachioradialis, Brachialis",Biceps,,,1,24-48 hours,Moderate,Moderate,Moderate,Good,No,Balanced,Resistance Band,No,Low,2-3 minutes,,,
Barbell JM Press,Arms,Triceps,Compound,Bilateral,Triceps,Middle Chest,Front Delts,,2,24-48 hours,Very High,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Triceps Dips,Arms,Triceps,Compound,Bilateral,Triceps,Middle Chest,Front Delts,,2,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Triceps Dip Machine,Arms,Triceps,Compound,Bilateral,Triceps,Middle Chest,Front Delts,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
Assisted Triceps Dips,Arms,Triceps,Compound,Bilateral,Triceps,Middle Chest,Front Delts,,2,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,3.5-5 minutes,,,
Dumbbell Skull Crusher,Arms,Triceps,Isolation,Can Be Both,Triceps,,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Push-down,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Cable Rope Overhead Triceps Extension,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,,,
Lying Barbell Triceps Extension,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Very High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Lever Triceps Extension,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,,,
Seated EZ-Bar Overhead Triceps Extension,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Lengthened Bias,Free Weight,No,Low,2-3 minutes,,,
Barbell Lying Back of the Head Tricep Extension,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Very High,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Seated Dumbbell Triceps Extension,Arms,Triceps,Isolation,Can Be Both,Triceps,,,,1,24-48 hours,Moderate,Stable,High,Good,No,Balanced,Free Weight,No,Low,2-3 minutes,,,
Cable One-Arm Overhead Triceps Extension,Arms,Triceps,Isolation,Unilateral,Triceps,,,,1,24-48 hours,Moderate,Stable,High,Excellent,Yes,Balanced,Cable,No,Low,2-3 minutes,,,
EZ Bar Skull Crusher,Arms,Triceps,Isolation,Bilateral,Triceps,,,,1,24-48 hours,Moderate,Moderate,High,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
H Bar Skull Crusher,Arms,Triceps,Isolation,Bilateral,Triceps,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
H Bar Skull Crusher Behind Head,Arms,Triceps,Isolation,Bilateral,Triceps,,,,2,24-48 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Standing EZ Bar Overhead Tricep Extensions,Arms,Triceps,Isolation,Bilateral,Triceps,,,,2,24-48 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,Moderate,2-3 minutes,,,
Triceps Press Machine,Arms,Triceps,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Low,2-3 minutes,,,
Bench Dips,Arms,Triceps,Compound,Bilateral,Triceps,"Middle Chest, Front Delts",,,2,24-48 hours,Moderate,Moderate,High,Average,No,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Seated Overhead Tricep Extensions With Bands,Arms,Triceps,Isolation,Bilateral,Triceps,,,,2,24-48 hours,Moderate,Stable,Moderate,Good,Yes,Lengthened Bias,Resistance Band,No,Low,2-3 minutes,,,
Dumbbell Tricep Kick Back Incline Prone,Arms,Triceps,Isolation,Can Be Both,Triceps,,,,1,24-48 hours,Moderate,Stable,Moderate,Average,Yes,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Cable Wrist Curl,Arms,Forearms,Isolation,Can be both,Wrist Flexors,,,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Cable,No,Low,2 minutes,,,
Dumbbell Reverse Curl,Arms,Forearms,Isolation,Can Be Both,Brachioradialis,Biceps,,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2 minutes,,,
Dumbbell Wrist Curl,Arms,Forearms,Isolation,Can Be Both,Wrist Flexors,,,,1,24-48 hours,Moderate,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2 minutes,,,
Barbell Reverse Wrist Curl,Arms,Forearms,Isolation,Bilateral,Wrist Extensors,,,,1,24-48 hours,Very High,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2 minutes,,,
Barbell Reverse Curl,Arms,Forearms,Isolation,Bilateral,Brachioradialis,Biceps,,,1,24-48 hours,Very High,Moderate,High,Good,Partial,Balanced,Free Weight,No,Low,2 minutes,,,
Preacher Dumbbell Wrist Curl,Arms,Forearms,Isolation,Can Be Both,Wrist Flexors,,,,1,24-48 hours,Moderate,Very Stable,High,Excellent,Yes,Lengthened Bias,Free Weight,No,Low,2 minutes,Bench provides external stability for strict isolation of the flexors.,,
Preacher Dumbbell Reverse Wrist Curl,Arms,Forearms,Isolation,Can Be Both,Wrist Extensors,Brachioradialis:0.3,,,1,24-48 hours,Moderate,Very Stable,High,Excellent,Yes,Lengthened Bias,Free Weight,No,Low,2 minutes,Bench provides external stability for strict isolation of the extensors.,,
Seated One Arm Forearm Cable Curls,Arms,Forearms,Isolation,Unilateral,Wrist Flexors,Deep Finger Flexors:0.6,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Cable,No,Low,2 minutes,,,
Seated One Arm Forearm Reverse Curls,Arms,Forearms,Isolation,Unilateral,"Brachioradialis:0.9, Brachialis:0.8",Wrist Extensors:0.5,,,1,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Free Weight,No,Low,2 minutes,,,
Resisted Band Supination,Arms,Forearms,Isolation,Unilateral,Supinator,Biceps:0.75,"Wrist Flexors, Wrist Extensors",,1,24-48 hours,Moderate,Stable,High,Good,Partial,Balanced,Resistance Band,no,Low,2 minutes,,,
Resisted Band Pronation,Arms,Forearms,Isolation,Unilateral,Pronators,,"Wrist Flexors, Wrist Extensors, Brachioradialis",,1,24-48 hours,Moderate,Stable,High,Good,Partial,Balanced,Resistance Band,no,Low,2 minutes,,,
Barbell Upright Row,Neck and Traps,,Compound,Bilateral,Upper Traps,"Side Delts:0.75, Biceps",Mid Traps,,3,48-72 hours,Very High,Moderate,High,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
EZ Bar Upright Row,Neck and Traps,,Compound,Bilateral,Upper Traps,"Side Delts:0.75, Biceps",Mid Traps,,3,48-72 hours,High,Moderate,High,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Cable Upright Row,Neck and Traps,,Compound,Can Be Both,Upper Traps,"Side Delts:0.75, Biceps",Mid Traps,,3,48-72 hours,High,Stable,High,Good,Partial,Balanced,Cable,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Dumbbell Upright Row,Neck and Traps,,Compound,Can Be Both,Upper Traps,"Side Delts:0.75, Biceps",Mid Traps,,3,48-72 hours,High,Moderate,High,Average,Partial,Shortened Bias,Free Weight,No,Moderate,3.5-5 minutes,"Elbow flare determines bias: tucked = Lats, flared = Upper Back/Rear Delts.",,
Barbell Shrug,Neck and Traps,,Isolation,Bilateral,Upper Traps,Brachioradialis,Mid Traps,,1,24-48 hours,Very High,Moderate,Moderate,Good,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Dumbbell Shrug,Neck and Traps,,Isolation,Bilateral,Upper Traps,Brachioradialis,Mid Traps,,1,24-48 hours,Moderate,Moderate,Moderate,Good,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Banded Shrug,Neck and Traps,,Isolation,Bilateral,Upper Traps,,Mid Traps,,1,24-48 hours,Moderate,Moderate,Moderate,Good,No,Shortened Bias,Resistance Band,No,Low,2-3 minutes,Constant band tension through the shrug; a home/travel substitute for a loaded shrug,,
Kelso Shrug,Neck and Traps,,Isolation,Bilateral,"Mid Traps, Rhomboids",,"Upper Traps, Lower Traps, Rear Delts",,1,24-48 hours,Moderate,Stable,Moderate,Good,No,Balanced,Free Weight,No,Moderate,2-3 minutes,,,
Incline Dumbbell Y-Raise,Neck and Traps,,Isolation,Can Be Both,Lower Traps,"Rear Delts, Mid Traps, Upper Traps",,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Dumbbell Incline T-Raise,Neck and Traps,,Isolation,Can Be Both,Mid Traps,"Rear Delts, Lower Traps","Rhomboids, Upper Traps",,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Dragon Flag,Core,,Isolation,Bilateral,Rectus Abdominis,Hip Flexors,Obliques,,2,24-48 hours,Low,Moderate,Moderate,Good,No,Balanced,Bodyweight,No,Very High,2 minutes,,,
Decline Crunches,Core,,Isolation,Bilateral,Rectus Abdominis,Obliques,Hip Flexors,,1,24-48 hours,Moderate,Moderate,High,Good,No,Balanced,Free Weight,No,Moderate,2 minutes,,,
Crunch Machine,Core,,Isolation,Bilateral,Rectus Abdominis,Obliques,Transverse Abdominis,,1,24-48 hours,High,Very Stable,Excellent,Excellent,No,Balanced,Machine,No,Moderate,2 minutes,,,
Russian Twist,Core,,Isolation,Bilateral,Obliques,Rectus Abdominis,,,1,24-48 hours,Moderate,Moderate,Moderate,Good,No,Balanced,Free Weight,No,Low,2 minutes,"Can be weighted. Focus on torso rotation, not just moving the hands.",,
Decline Russian Twist,Core,,Isolation,Bilateral,Obliques,Rectus Abdominis,,,2,24-48 hours,Moderate,Stable,High,Excellent,Partial,Balanced,Free Weight,No,Moderate,2 minutes,Decline bench increases mechanical tension on the rectus abdominis while twisting.,,
Hanging Knee Raise,Core,,Isolation,Bilateral,Rectus Abdominis,Hip Flexors,,,2,24-48 hours,Moderate,Unstable,High,Good,Yes,Shortened Bias,Free Weight,No,Moderate,2 minutes,Focus on posterior pelvic tilt (curling the pelvis up) rather than just flexing the hips.,,
Toes to Bar,Core,,Isolation,Bilateral,Rectus Abdominis,Hip Flexors,Lats,,3,24-48 hours,Low,Unstable,High,Average,Yes,Balanced,Bodyweight,No,High,2-3 minutes,Requires lat strength to stabilize the swing. Great deep stretch for the lower abs.,,
Kneeling Cable Crunch,Core,,Isolation,Bilateral,Rectus Abdominis,Obliques,Transverse Abdominis,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2 minutes,,,
Cable Obliques,Core,,Isolation,Unilateral,Obliques,Rectus Abdominis,Transverse Abdominis,,1,24-48 hours,Moderate,Stable,High,Excellent,No,Balanced,Cable,No,Moderate,2-3 minutes,,,
Leg Raises,Core,,Isolation,Bilateral,Hip Flexors,Rectus Abdominis,Obliques,,1,24-48 hours,Moderate,Moderate,High,Good,No,Shortened Bias,Free Weight,No,Low,2 minutes,,,
Smith Machine Squat,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",,,5,48-72 hours,Very High,Very Stable,Excellent,Average,Partial,Balanced,Machine,Yes,High,3-4 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Romanian Deadlift (RDL),Legs,Hamstrings,Compound,Bilateral,"Hamstrings, Glute Max",Spinal Erectors,Upper Traps,,5,72-96 hours,Very High,Moderate,Excellent,Average,Yes,Lengthened Bias,Free Weight,Yes,High,4-7 minutes,,,
Box Squat Single Leg,Legs,Quads,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Yes,Balanced,Free Weight,No,High,3-4 minutes,,,
Dumbbell Bulgarian Split Squat,Legs,Quads,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Lengthened Bias,Free Weight,No,High,4-6 minutes,,,
Dumbbell Step Up,Legs,Quads,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Moderate,Excellent,Excellent,Yes,Balanced,Free Weight,No,Moderate,3-4 minutes,,,
Kettlebell Reverse Lunge,Legs,Quads,Compound,Bilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,No,Lengthened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Smith Machine Bulgarian Split Squat,Legs,Quads,Compound,Unilateral,"Quadriceps, Glute Max",Adductors,Rectus Abdominis,,4,48-72 hours,High,Very Stable,Excellent,Excellent,Yes,Lengthened Bias,Machine,No,Moderate,4-6 minutes,,,
Barbell Hip Thrust With Bands,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,3,48-72 hours,Very High,Stable,Excellent,Excellent,Partial,Shortened Bias,Free Weight,No,Moderate,3-4 minutes,Bands increase peak tension,,
Dumbbell Hip Thrust With Bands,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Rectus Abdominis,,3,48-72 hours,High,Stable,Excellent,Excellent,Partial,Shortened Bias,Free Weight,No,Moderate,3-4 minutes,,,
Hack Squat Wide Stance,Legs,Quads,Compound,Bilateral,"Quadriceps, Adductors",Glute Max,,,3,48-72 hours,Very High,Very Stable,Excellent,Excellent,Yes,Lengthened Bias,Machine,No,Low,3-4 minutes,,,
Hip Thrust Machine,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,,,2,24-48 hours,Very High,Very Stable,Excellent,Excellent,Partial,Shortened Bias,Machine,No,Low,2-3 minutes,Most stable hip thrust option,,
Standing Cable Hip Extension,Legs,Glutes,Isolation,Unilateral,Glute Max,Hamstrings,,,1,24-48 hours,Moderate,Stable,Excellent,Excellent,No,Balanced,Cable,No,Low,2-3 minutes,,,
Hack Squat Calf Raise,Legs,Calves,Isolation,Bilateral,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Moderate,Excellent,Excellent,Partial,Shortened Bias,Machine,No,High,2 minutes,,,
Calf Raise Machine,Legs,Calves,Isolation,Bilateral,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Machine,No,Low,2-3 minutes,,,
Smith Machine Standing Calf Raise,Legs,Calves,Isolation,Can Be Both,Gastrocnemius,Soleus,,,1,24-48 hours,Very High,Very Stable,Excellent,Excellent,Yes,Shortened Bias,Machine,No,Low,2-3 minutes,,,
Standing Calf Raise,Legs,Calves,Isolation,Can Be Both,Gastrocnemius,Soleus,,,1,24-48 hours,High,Stable,Excellent,Excellent,Yes,Shortened Bias,Free Weight,No,Low,2-3 minutes,,,
Roman Chair Single Leg Back Extension,Legs,Hamstrings,Isolation,Unilateral,"Hamstrings, Glute Max",Spinal Erectors,,,1,24-48 hours,Moderate,Stable,Excellent,Excellent,Yes,Balanced,Bodyweight,No,Moderate,2-3 minutes,,,
Hack Squats Machine,Legs,Quads,Compound,Bilateral,Quadriceps,"Glute Max, Abductors",,,5,48-72 hours,Very High,Very Stable,Excellent,Good,Partial,Balanced,Machine,No,High,3-4 minutes,Stance width and depth dictate Glute vs Quad bias.,,
Leg Press,Legs,Quads,Compound,Can Be Both,Quadriceps,"Glute Max, Abductors",,,3,48-72 hours,Very High,Moderate,Excellent,Good,No,Balanced,Machine,No,Moderate,3.5-5 minutes,,,
Smith Machine Hip Thrust,Legs,Glutes,Compound,Bilateral,Glute Max,Hamstrings,Quadriceps,,4,48-72 hours,Very High,Very Stable,Excellent,Good,No,Balanced,Machine,No,Moderate,3-4 minutes,,,
